"","SA2_2016","Index1_point","Index1_lower","Index1_upper","Index1_Prob_PercentileAbove80","Index1_Prob_PercentileAbove95","Index1_Prob_PercentileAbove99","Index2_point","Index2_lower","Index2_upper","Index2_Prob_PercentileAbove80","Index2_Prob_PercentileAbove95","Index2_Prob_PercentileAbove99","Index3_point","Index3_lower","Index3_upper","Index3_Prob_PercentileAbove80","Index3_Prob_PercentileAbove95","Index3_Prob_PercentileAbove99","Index4_point","Index4_lower","Index4_upper","Index4_Prob_PercentileAbove80","Index4_Prob_PercentileAbove95","Index4_Prob_PercentileAbove99","Scores1_point","Scores1_lower","Scores1_upper","Scores2_point","Scores2_lower","Scores2_upper","Scores3_point","Scores3_lower","Scores3_upper","Scores4_point","Scores4_lower","Scores4_upper"
"1876",209041430,15,8,25,0,0,0,58,38,77,0.012875,0,0,39,21,56,0,0,0,29,10,68,0.01675,0.00025,0,-0.953414962856851,-1.55079189213995,-0.405852670942634,0.300321249574935,-0.406481161605766,0.985246451956607,-0.256064513083677,-0.741762399439129,0.237824333742119,-4311.23017453333,-12488.6826381569,4004.12939504919
"1877",209041433,4,2,7,0,0,0,46,22,67,0.00225,0,0,12,2,26,0,0,0,16,9,25,0,0,0,-2.4267885502002,-3.14977636638341,-1.74571386042582,-0.0958353956392499,-0.90053812267588,0.746334735487641,-1.12951158203104,-1.71837121924569,-0.531055406394057,-10107.9991475958,-15377.7040410297,-4752.41483182042
"1878",209041434,8,4,13,0,0,0,51,30,71,0.00275,0,0,25,9,41,0,0,0,17,7,32,0,0,0,-1.58061044679417,-2.17019203677332,-0.990619864407307,0.0498479199782122,-0.663972597257551,0.818415378011673,-0.671067005131947,-1.21360382255962,-0.161024321224288,-9736.51117745943,-17608.1778615176,-2336.30187664319
"1879",209041437,5,2,7,0,0,0,45,28,63,0.000125,0,0,14,4,25,0,0,0,17,11,24,0,0,0,-2.19967288592913,-2.73411515009376,-1.64605193749633,-0.127430135798305,-0.782727922243828,0.506989240055747,-1.04668154340709,-1.49729755792824,-0.590538829113911,-9871.77697664399,-14121.7619176002,-5569.66696678785
"1880",210011228,22,12,35,0,0,0,33,19,48,0,0,0,27,13,40,0,0,0,28,19,37,0,0,0,-0.592385586648505,-1.05896603991659,-0.091021161132243,-0.598302582994324,-1.16522603031394,0.0300517158426278,-0.59878749265208,-1.01273645336873,-0.178593933663863,-4460.06863901901,-7543.36747291695,-1330.25691489528
"1881",210031439,20,11,33,0,0,0,36,19,51,0,0,0,29,14,43,0,0,0,40,34,45,0,0,0,-0.642814354129713,-1.13955090912981,-0.157412682461584,-0.467015147391082,-1.10415568538286,0.138702531255547,-0.546614371354963,-0.970785689798777,-0.101404594029427,-1322.53347149333,-2348.81597646814,-245.348415254198
"1882",210051248,20,6,45,0.00025,0,0,44,19,69,0.003875,0,0,34,12,56,0.000125,0,0,48,46,50,0,0,0,-0.670280826109041,-1.55305652780933,0.20431448598817,-0.181640990481071,-1.11103331559626,0.7733220350841,-0.397989997218733,-1.04536032508804,0.258952315989021,-66.6633245341378,-175.097854452246,43.374512928161
"1883",210051441,4,1,6,0,0,0,60,39,80,0.03,0.000375,0,19,5,34,0,0,0,25,17,34,0,0,0,-2.41989220214251,-3.042685241569,-1.78394817452192,0.384675070579613,-0.349865804215016,1.11369797066496,-0.856560752429246,-1.38870473371352,-0.326068428557605,-5905.98638799965,-9575.1191389547,-2248.24181490468
"1884",210051445,9,5,13,0,0,0,48,30,65,0.000125,0,0,23,9,36,0,0,0,29,22,37,0,0,0,-1.57159653000329,-2.08954102893448,-1.04307812989072,-0.0465828067738755,-0.686570659316139,0.585721425341876,-0.723583484952224,-1.17447602381546,-0.284614090641766,-4080.64906338807,-6623.45753630731,-1605.08116417424
"1885",211011255,25,13,41,0,0,0,41,22,57,0,0,0,35,20,51,0,0,0,36,26,51,0,0,0,-0.465284096458997,-0.958172986874421,0.0570192211029736,-0.289494418753274,-0.921306914218132,0.372143935709923,-0.368354969859993,-0.783769551902898,0.11481719073261,-2075.49607767613,-4416.14954019688,646.937461182894
